job_title,category,inferred_state,post_date,job_description
receptionist junior school ,Education,Australian capital territory,2020-02-14,applications for this position close am monday february permanent position customer service role professional and supportive environment who we are canberra girls grammar school is an independent non selective anglican school with approximately students the school has a strong reputation as a leader in the education of girls our intent is to develop young women that are well educated and who insist on living ethically and purposely this is an opportunity to join a dedicated supportive and innovative team in a school committed to excellence the role the receptionist represents the face of the school the person holding this position needs to be personable well presented calm and efficient in their dealings with our clients the public staff and the students we are seeking applications for a suitably qualified receptionist to work at our junior school campus this is an ongoing position to commence as soon as possible the working hours are am to pm monday to friday with a half hour for lunch during teacher term time with previous experience in a similar role the ideal candidate will be organised have a strong attention to detail and have a customer service focus a current first aid certificate is required or willingness to obtain _______________________________________________________ applications further information including duty statement for the position can be found on the school s website www cggs act edu au applications should be made via the online application form on the employment page of our website https employment cggs act edu au applications should include a current resume and short cover letter queries regarding this position should be directed via email to employment cggs act edu au please note that applications cannot be accepted via the employment email address 
office trainee admin support school leavers encouraged to apply,Education,New south wales,2020-02-17,office trainee admin support is a role to gain a cert iii in business business admin the successful candidate will have customer service experience incl appropriate phone manners great attention to detail and strength in working with numbers the successful candidate will be very comfortable communicating with customers and fellow staff as well as working as part of a team roles and responsibilities assist supervisor with the below tasks submitting forms making up job folders answering phone calls general office administration duties personal attributes strong communication skills high attention to detail highly organised authentic and show genuine empathy for other people value teamwork and working together on tasks motivated and career oriented excellent computer skills ms office suite past experience and qualifications no formal qualifications required previous experience communicating by telephone desirable driver s licence own transport the application form will include these questions do you have a current australian driver s licence 
part time sales representative school hours,Education,Queensland,2020-02-17,overview salesreps australia employs on behalf of our clients field based sales and account managers across all states of australia providing an outsourced sales solution we have employed in excess of staff on behalf of our clients all with a focus on balance of life roles we understand the need for flexibility a solid income a stimulating role and great support the role our client liebherr is the global leader in refrigeration appliances offering highest quality innovation and superb design in this role you will be representing liebherr biomedical products and calling on customers in the science research pathology pharma and medical industries your hours of work approx hrs per week can vary from one day to the next and from week to week spread across days and ideally for you majority of time is within school hours perfect balance you ll be paid for the hours you work and km s you drive role services the brisbane metro area and surrounding regions this role is ideally suited to someone with account development background has a good grasp of managing long sales cycles and good relationship building capabilities you will be managing the current sales pipeline visiting existing customers and building your customer database by targeting new prospects work in the field and from home to set your appointments excellent flexibility you infectious personality with ability to make a lasting impression high level of enthusiasm tenacity and a knack for thinking outside the box a real problem solver commitment to make a flexible working arrangement work for you and the business relationship based selling experience ability to build and maintain relationships and most importantly close the sale proven ability to build your network and reputation we want customers to be phoning you intelligent and can manage multiple customers at various stages of the sales cycle willingness to go the extra mile for the customer highly organised responsible and loyal this is a key role for the business and requires a long term focus and commitment a licensed driver with a reliable vehicle confident using an ipad to capture information as the ideal applicant you will have a linkage to the product or the industry have loads of energy a sales and account development background and will be looking for a role that can deliver an absolute balance of life for you and your family if this sounds like you then send us your cv with a cover letter telling us why you think this could be great for you this is an exceptional role for a great company so be quick 
tutors required all melbourne suburbs,Education,Victoria,2020-03-03,are you a tutor who has a passion for learning are you reliable and organised are you in need of clients we can help tutoring for excellence has over years experience recruiting students who are looking for tuition with teachers trainee teachers graduates and university students we are taking registrations now for tutors throughout melbourne we are looking for organised and approachable tutors in a range of subject areas including english maths sciences and humanities we also welcome teachers or trainee teachers specialising in primary school education tutors mainly tutor outside of school hours travel around minutes to the client s home or a library location and are available to tutor at least hours each week if you are a teacher trainee teacher graduate or a university student we encourage you to register through our website all registration forms will be reviewed and we set up face to face meetings regularly to register your interest complete the form found on our website and our tutor registration support team will review your registration details chosen applicants will then be contacted for a meeting interested tutors must provide a copy of their latest degree or transcript have a working with children check services we offer choices where when how and how often you work providing an advertising and marketing platform for your business worth hundreds of thousands of dollars professional organised sales to team to sell your skill set and business benefits of our marketing and industry experience professional payment gateway ppg for your business administration quoting scheduling booking billing advice and management clients are looking for university students who have ideally achieved an atar score of over and currently achieving excellent academic results university students and graduates who are able to tutor either math s or english to a year level qualified teachers own vehicle tools of trade excellent communication skills and command of the english language reliable and approachable tutors who are able to work without supervision register to become a tutor go to our website https www tutoringforexcellence com au and click on the register as a tutor link 
student welfare officer higher education ,Education,New south wales,2020-03-01,scei group is currently seeking a motivated and passionate student welfare officer to support the higher education scei he student cohort since the parent company s scei s inception in scei group has successfully delivered high quality education and training to thousands of both local and international students the role duties responsibilities follow up on students who require academic support and engage them in an intervention plan where required offer support and advice on a range of academic and personal issues the student may be experiencing issue warning letters according to scei s policies and procedures review student applications prepare for and conduct student feedback sessions prepare for and conduct orientation sessions coordinate and facilitate counselling services for students liaise with management and training staff to resolve student issues and other concerns manage student enquiries maintaining a professional environment for student learning provide students with useful information on a range of topics conduct home stay visits save and file student documents and records to dedicated locations organise fortnightly social activities to help create an inclusive and friendly environment ad hoc duties as required by management qualification competencies bachelor degree in psychology or similar discipline minimum year experience in a similar role ability to deal with student personal matters and liaise with external bodies to provide additional support to students demonstrate ability to work in a multi cultural environment strong administration skills working with children check essential if you meet the above criteria and are interested in taking up this opportunity please feel free to send in your cover letter and resume please note due to large volume of applications only shortlisted candidates will be conducted if your application should be unsuccessful we thank you for your interest in southern cross education institute and wish you well in your future endeavors the application form will include these questions which of the following statements best describes your right to work in australia do you have experience working for a registered training organisation rto what s your expected annual base salary what s your highest level of education do you have a current working with children wwc check 
quality coach member education,Education,Victoria,2020-02-14,at telstrasuper we value our people and our members we believe diversity and inclusion provides us with an edge it s the difference that counts and fosters greater innovation stronger problem solving capability greater member experience and increased engagement among our people we are committed to being inclusive and this is supported through our values and company policies and processes an exciting new opportunity has become available for a quality coach to join telstrasuper s member engagement advice team reporting to the head of member services the purpose of this role will be to guide support and coach the member education team to deliver high quality and innovative education services to members in line with legislative requirements internal processes procedures and standards key responsibilities include innovate the content and delivery of the member education program to make a step change in member s engagement with their superannuation guide and monitor daily weekly operations of member education team to ensure successful delivery of events and member s engaged in line with team targets conduct assessments of seminars webinars and one on one interactions between education consultants and members identify training gaps and develop and implement appropriate coaching and training as required proactively build awareness of telstra super services to members and identify opportunities to enhance the services provided what we are looking for we are seeking a committed collaborative and energetic individual who is passionate about presenting and loves interacting with people members enjoy listening to you and feel engaged you understand the importance of quality and compliance in a changing external environment and bring a focus to the team on delivering high quality services in every interaction with our members being results focused you enjoy collaborating with the team to enable your people to deliver improved member outcomes ability to establish rapport build trust and exceptional communication skills will be integral to success in this role the must have s rg superannuation hold a current drivers license happy to travel nationally on a regular basis excellent product and industry based superannuation knowledge excellent presentation skills including the ability to use ms powerpoint excellent ability to communicate complex financial concepts simply both verbally and written as a preference you will have minimum years experience in a similar role within the superannuation industry tertiary qualifications in superannuation and or financial planning or business discipline experience in quality assurance what you ll get in return competitive remuneration package supportive innovative and enthusiastic team flexibility and independence excellent employee benefits to be eligible to apply you must have australian or new zealand citizenship or permanent residency status how to apply to submit an application use the apply button applications close monday th of february interviews may be held prior to the advertised close date to learn more about telstrasuper please visitwww telstrasuper com authe application form will include these questions which of the following statements best describes your right to work in australia what s your expected annual base salary have you completed a rg life insurance accreditation do you have a current australian driver s licence do you own or have regular access to a car 
finance officer school finance and administration support team,Education,New south wales,2020-02-13,the director of schools invites applicants from suitably qualified and experienced personnel for this permanent full time position at the catholic education diocese of wollongong cedow commencing march start date negotiable specific areas of focus include supporting principals school finance officers senior school support officers to ensure effective and efficient accounts payable and accounts receivable services performing financial transactions and administrative processes on behalf of schools in a context of both centralised and shared services assisting in the delivery of school fee management which includes delivery of customer focused fee collection and fee concession procedures with families across the diocese providing excellent customer service standards and maintaining high stakeholder satisfaction supporting the team leader of the school finance and administration support team essential criteria certificate iv diploma in business administration finance accounting excellent interpersonal skills with ability to work collaboratively with team members school and other catholic education office staff demonstrated experience in delivering high quality customer services with a focus on stakeholder satisfaction knowledge of and experience working with an accounting package ability to maintain confidentiality and engender trust exceptional organisational and time management skills excellent oral and written communication skills advanced microsoft office skills and in particular excel capacity to foster catholic values and demonstrate commitment to catholic ethos minimum two years experience in a business education environment desirable criteria experience with technology one accounting knowledge of and experience in schools finance and administration packages knowledge of and experience in customer relationship applications and databases experience in debtor management and collection processes please do not apply for this position via seek apply now via our website www dow catholic edu au under the employment tab closing date february at pm
job placement coordinator education,Education,Victoria,2020-03-01,the company this leading training organisation has earned the reputation and title as one of the finest providers in the industry they are recognised as an ethical and caring brand due to their hard work and passion for the individual s success they are continually regarded as one if not the finest provider out there they have successfully implemented a number of the industries solutions that have been adopted by a number of their competitors over the years culture is very strong within this company they are a passionate and happy organisation with a very close team environment the role in this highly regarded position the successful candidate will be instrumental in placing recently graduated students into job work placements with an already strong network of clients to partner with this role will be best suited to an individual who is passionate about the industry working with students to place them in new and exciting employment face to face and over the phone interaction having the opportunity to work for a highly supportive company continual training the candidate the successful candidate will be passionate about the education space you will want your next role to be for the long team and have a desire to grow within the role years experience in a similar role looking for a long term move team player rewards opportunity to work for a highly successful and ethical organisation opportunity to work for a company that has created and developed a happy and supportive team that get on extremely well career development and growth opportunities if you are interested in this role please click the apply button to find out more or email info opalconsultinggroup com au
accounts officer part time school hours,Education,New south wales,2020-03-03,if you re an experienced accounts officer living in southwestern sydney and keen to work during school hours or looking for work life balance apply here client details our client is a major partner of the state government institution is committed to ensuring customer satisfaction and the quality of service delivery to achieve this they regularly role out a number of projects to qualify the delivery of service and monitor the feedback of key stakeholders description accounts payable accounts receivable end to end process and raise invoices up to per day perform bank supplier vendor reconciliations assisting the payroll team with time sheets and data entry using sage micropay assist with end of month reporting for all financial support all finance functions across the office profile years of accounts payable receivable and payroll experience ideally using sage micropay excellent communication skills verbal and written able to work days per week for hours switched on individual who takes initiative and a team player job offer flexible working hour and arrangements permanent part time role excellent for working parents campbelltown minto area great for south western sydney residents great base remuneration package pro rata d onsite parking to apply online please click the apply button below for a confidential discussion about this role please contact cynthia pham on 
teacher assistant,Education,Victoria,2020-02-13,about st michael s collegiate school st michael s collegiate is an outstanding k to anglican day and boarding school for girls for over years young women have been part of an exceptional learning community celebrated for its rich blend of academic excellence sporting endeavours creative arts and co curricular activities set in the picturesque city of hobart collegiate provides a world class education in a unique corner of the globe known for its scenic beauty history and warm sense of community at st michael s collegiate school we acknowledge that there are a diverse range of learning rates and learning styles the edge program was developed from this principle it assists students to reach their learning goals through curriculum enrichment and differentiation or in some cases specialised learning programs the edge program supports the school s aim of providing for the full range of a student s needs to benefit them the broader school community and their opportunities for the future about the role the position involves working with teachers to address the needs of students with a disability and or students with additional learning needs working under the direction of the director of studies and student learning the position holder plays an important role in assisting and supporting the teacher in the learning and developmental needs of students with disability skills experience the ideal person will have previous experience in an educational support role be self motivated display initiative have great communication skills and be supportive of the school s christian ethos and values the successful candidate will be able to work with a variety of students under general supervision have the ability to work across all ages and campuses have the capacity to participate in off campus activities school camps outdoor education work cooperatively with teachers students and other teacher assistants for the support of students with learning needs and encourage and support students to do as much as they can for themselves promoting independence in tasks qualifications in relevant child studies and experience in working with the senior ages years is desirable employment conditions part time term time only position hours per week days per week remuneration is paid under curriculum support services css level of the st michael s collegiate school general and early childhood education and care staff enterprise agreement st michael s collegiate school is an organisation committed to child protection and to the implementation of childsafe policies and practices the successful applicant will be subject to a working with vulnerable persons check and criminal history records check where applicable our organisation undertakes several screening processes to ensure the appropriate protection of children in its care this includes reference checks qualification checks and professional registration checks it is conditional of employment that the successful applicant hold and maintain current tasmanian working with vulnerable persons check rwvp gain a satisfactory national police clearance be authorised to work in australia undertake mandatory child safety training hold valid st aid further information all enquires related to this position should be directed to anouk harding human resources coordinator at hr collegiate tas edu au for details on how to apply please visit the school s website www collegiate tas edu au all applications must include application for employment form cover letter cv resume professional referees applications close pm on friday february the application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check how many years experience do you have as a teacher aide do you have experience working with children with special needs have you completed a qualification in education support 
school validation support and development advisor seo ets ,Education,Queensland,2020-03-12,temporary full time appointment up to three years from entry on duty date location parramatta about the role the position coordinates the development of the school validation process and provides related policy direction and support for all nsw public schools please address the selection criteria in relation to the statement of duties for the position in your application please note that it is a requirement that all candidates submit their applications online no paper based email based or late applications will be accepted please note permanent teachers taking up non school based temporary appointments the right of return to their substantive position has been extended to up to years existing internal employees are encouraged to refer to the vacation guide for teachers taking up a temporary non school based teaching service positions this is a child related role if you are the successful applicant you will be required to obtain a working with children check wwcc clearance number as a condition of employment if you do not already have this for more information visit https www kidsguardian nsw gov au child safe organisations working with children check and in addition your employment may be subject to the department s national criminal records check to determine your suitability for employment if you are called to interview you will need to provide the following proof of identity information informed consent form declaration for child related work for more information please call shane molony closing date march 
customer service representative education ,Education,Victoria,2020-03-12,about uspivot professional learning is an emerging edu tech company offering a range of products designed to help improve teacher effectiveness in schools our key productis a student school survey about the rolewe are seeking an addition to our school partnership team who are responsible for developing and maintaining excellent relationships with our valued clients as theyimplement our platform and products members of our school partnerships team must be excellent at customer service highly proficient with implementing softwaresolutions detail oriented and self directed this role is a combination of supporting customers through phone calls and emails along with managing our array of products available to schools keeping customer details up to date in our crm and working within our proprietary platform we offer flexible work schedules that align with the working hours of the schools within your portfolio most of the job can be done remotely from home but we doexpect a weekly visit to our offices in essendon key objectives develop and maintain excellent relationships across a portfolio of schools or accounts this includes providing onboarding support implementation guidance and troubleshooting the customer service will happen through phone and email support work within our proprietary system to manage our suite of products including school surveys keep accurate and detailed records within crm data management system and proprietary system support our business development and executive team as necessary about youwe are seeking candidates who can develop a natural friendly rapport with clients and go the extra mile to meet their needs demonstrate an aptitude for learning new business systems databases and software are committed to precise and accurate data management have the ability to prioritise and manage several different tasks at once have excellent attention to detail and problem solving skills excellent verbal and written communication skills be able to work independently but also be part of the team we would like candidates to have years experience in account management preferably within the education sector experience with software platforms preferably in education expertise with zoho or similar crms excel and google drive excellent technical competency and can quickly pick up new systems an understanding of the australian k education system a strong client focus with ability to deal confidently with clients experience in meeting key performance indicators and tight deadlines strong interpersonal skills specifically sound verbal and written communication skills be able to obtain or provide a working with children s check and victorian police check the successful candidate must be available to start at the beginning of march the application form will include these questions which of the following statements best describes your right to work in australia do you have customer service experience how much notice are you required to give your current employer how many years experience do you have as a customer services representative what s your preferred work type 
administrative officer higher education engineering ,Education,New south wales,2020-03-05,about us chisholm is victoria s premier public vocational education and training provider with campuses located across melbourne and the south east each year we welcome some students from over culturally and linguistically diverse backgrounds more than passionate and dedicated chisholm employees work together to deliver quality training and education in melbourne s south east manufacturing heartland and key residential growth corridor a victorian government owned tafe we aim to lead the way in education and training to inspire success and transform lives our purpose is to excel in education and training and be respected and valued for enhancing the social and economic futures of individuals industry and communities our drive for commercial success is underpinned by our core values of opportunity integrity collaboration and achievement in the past years we have grown significantly to become a multi sector institute delivering a broad range of education and training programs and services in higher education vocational education and training vet and school sectors across ten campuses in victoria online in the workplace and overseas with partner educational and government organisations we offer more than courses from vce vcal vetis through to nationally accredited qualifications such as certificates diplomas advanced diplomas degrees graduate certificates graduate diplomas and short courses about the role this position is accountable for providing operational and administrative support to the engineering higher education business area through the coordination of administrative activities and the provision of customer service functions your key accountabilities will be to ensure delivery of an agreed work plan and projects to meet agreed priorities and targets for providing of departmental service within time and budget expectations provide project and research support to ensure projects are able to meet targets and stakeholder expectations maintain data for works expenditure and liaise with finance to ensure alignment with projections and targets for projects process progress claims for capital works project reimbursements from the higher education skills group hesg and other funding organisations to ensure consistent cash flow is maintained ensure all contract documents are prepared for and quality standards are met for approval by the department manager general manager and members of the executive prepare agendas and minutes at meetings to ensure follow up actions are recorded and completed about you you will have a relevant post secondary qualifications or equivalent demonstrated experience within administration or in an education environment crucial to your success will be your proven experience in providing administrative support in a complex and busy environment with demonstrated interpersonal skills and the ability to build rapport prioritise problem solve meet deadlines and have strong attention to detail you have a flexible working style and can multi task and problem solve a team player as well as being able to work autonomously will see you succeed as you achieve strong results and meet your targets aboriginal and torres strait islander people are encouraged to apply our commitment to diversity at chisholm we embrace differences in gender age ethnicity race cultural background disability religion and sexual orientation we know that diversity and inclusion helps us to attract recruit engage and retain a team of talented people if you require specific support to apply for this position please advise the recruiting manager whose contact details are listed in the advertisement we will work with you to identify the best way to assist you how to apply applications for this position close monday th march am applications should include a covering letter curriculum vitae contact details of three referees appointment to this position is subject to satisfactory completion of safety screening requirements including but not limited to valid employee working with children check national police check international police check if applicable verification of unrestricted work rights in australia eg citizenship passport or birth certificate certified copies of qualifications and transcripts if you have any questions regarding the position or require further information please contact tharshan vaithianathan course coordinator chisholm institute reserves the right to withdraw an advertised position at any stage 
mathematics tutor,Education,New south wales,2020-03-04,brent street academy seasonal mathematics tutor brent street moore park nsw teaching subject year mathematics essential general mathematics qcaa syllabus contract type casual part time hours per week monday s am pm or wednesday s pm pm dependant on the tutor s availability rate hr position commences as soon as possible brent street academy is a full time performing arts and academic program for school aged students in years these students are more than just talented they have a passion drive and a high level of engagement in their performing arts training brent street prides itself on being the most industry connected institution of its kind as a registered training organisation our courses are continually evolving to meet the demands of the industry providing students with the best grounding for their future in the performing arts we have a fantastic opportunity for a mathematics tutor to guide and teach in an innovative classroom environment key selection criteria commitment in supporting students with homework exam preparation and assessment tasks an understanding of and ability to effectively enhance student achievement through aiding in classwork confidence in assisting students in years essential general mathematics qcaa syllabus current working with children check report to the head of department brent street academy essential general qcaa syllabus content available at https www qcaa qld edu au p aciq learning areas mathematics https www qcaa qld edu au senior senior subjects mathematics essential mathematicsthe application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check how would you rate your english language skills 
school program facilitator required multiple roles available ,Education,New south wales,8 Jan 2020, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder max width px min width px text align left font family helvetica arial job template__wrapper tempborder templogo text align center padding font size line height job template__wrapper tempborder tempmargin margin px padding px px job template__wrapper tempborder jobtitle color ed c text align left margin padding px display block font size px line height em font weight normal text transform uppercase job template__wrapper tempborder h color ed c important text align left margin padding px display block font size px line height em font weight normal job template__wrapper tempborder subheading color ed c important text align left margin padding display block font size px line height em font weight normal text transform uppercase job template__wrapper tempborder templatebullet li color ed c text align left margin left px important font size px font weight bold job template__wrapper tempborder templatetext li color important text align left margin left px font size px job template__wrapper tempborder templatetext job template__wrapper tempborder templatetext p color text align left font size px line height em job template__wrapper tempborder details color text align left padding top px font size px line height em job template__wrapper tempborder tempbase background color d font size px color fff text align right padding px px px job template__wrapper tempborder tempbaselogo text align left padding school program facilitator required multiple roles available various locations across victoria travel to regional areas may be required per hour superannuation and allowances starting in feb school program facilitators deliver an innovative road safety program for year students in schools across victoria these positions are offered on a casual basis and work is offered across the school term various locations across victoria travel to regional areas may be required depending on your location per hour superannuation and allowances starting in feb client details road smart is the department of transport dot road safety education and training program for year students which aims to build the knowledge skills and behaviours for safe driving among young people young and inexperienced drivers face the greatest risk on our roads road crashes continue to be one of the leading causes of death for people aged to years road smart uses practical training tools and evidence based road safety education techniques to better support young people and their supervising drivers in the early stages of learning to drive the program has four components a minute in class session delivered at school elearning for beginners and their supervising drivers a free in car session and a teacher toolkit the in class session has been designed to provide students with a broad understanding of the causes of road trauma the safe system the towards zero vision and the importance of taking a staged approach to learning to drive https www towardszero vic gov au description about the role road smart facilitators are provided with the opportunity to facilitate an innovative road safety program for year students in schools across the state being the first point of contact students have with the program facilitators will play a valuable role in engaging students to encourage positive road safety behaviours and promoting continued participation in the additional components of the program facilitators will deliver an interactive in class session lasting between minutes using the provided powerpoint presentation including session plans and guides sessions are limited to students this role should appeal to education or performing arts students or anyone with experience facilitating or in community development after casual employment that contributes to a safer community the facilitator position is offered on a casual basis with no specified hours facilitator in class bookings including school location session date time duration and other required information is managed by the department of transport key selection criteria ability to effectively engage young people including well developed communication and interpersonal skills ability to establish a positive learning environment in a classroom situation ability to effectively deliver key messages in an engaging way to influence behaviour change ability to effectively engage with school teachers and the community to deliver key road safety messages a commitment to influencing positive behaviour change in road safety for young people be self motivated punctual and professional with a high standard of presentation profile additional requirements availability during the day to deliver the road smart program in schools access to transportation to reliably get to session venues in a timely manner access to appropriate technology to deliver the program a laptop or tablet is required with powerpoint where such technology is not provided be available to participate in road smart in class presentation training paid desirable skills and qualifications youth work work in performing arts and or community development education qualifications such as certificate iv training and assessment or other relevant qualification e g teaching facilitating is seen as desirable however not a requirement knowledge and understanding of issues in health education particularly road safety job offer please note prior to starting this role you will be required to complete or provide the following current drivers licence australian national police check working with children check clean driving history no more than demerit points accumulated in the past years no licence disqualifications suspensions or cancellations if you believe you have the right skill set apply now please note you will be required to complete an online questionnaire which also includes a video response for a confidential conversation please contact sally joy or mitchell cave on school program facilitators deliver an innovative road safety program for year students in schools across victoria these positions are offered on a casual basis and work is offered across the school term various locations across victoria travel to regional areas may be required depending on your location per hour superannuation and allowances starting in feb client details road smart is the department of transport dot road safety education and training program for year students which aims to build the knowledge skills and behaviours for safe driving among young people young and inexperienced drivers face the greatest risk on our roads road crashes continue to be one of the leading causes of death for people aged to years road smart uses practical training tools and evidence based road safety education techniques to better support young people and their supervising drivers in the early stages of learning to drive the program has four components a minute in class session delivered at school elearning for beginners and their supervising drivers a free in car session and a teacher toolkit the in class session has been designed to provide students with a broad understanding of the causes of road trauma the safe system the towards zero vision and the importance of taking a staged approach to learning to drive https www towardszero vic gov au description about the role road smart facilitators are provided with the opportunity to facilitate an innovative road safety program for year students in schools across the state being the first point of contact students have with the program facilitators will play a valuable role in engaging students to encourage positive road safety behaviours and promoting continued participation in the additional components of the program facilitators will deliver an interactive in class session lasting between minutes using the provided powerpoint presentation including session plans and guides sessions are limited to students this role should appeal to education or performing arts students or anyone with experience facilitating or in community development after casual employment that contributes to a safer community the facilitator position is offered on a casual basis with no specified hours facilitator in class bookings including school location session date time duration and other required information is managed by the department of transport key selection criteria ability to effectively engage young people including well developed communication and interpersonal skills ability to establish a positive learning environment in a classroom situation ability to effectively deliver key messages in an engaging way to influence behaviour change ability to effectively engage with school teachers and the community to deliver key road safety messages a commitment to influencing positive behaviour change in road safety for young people be self motivated punctual and professional with a high standard of presentation profile additional requirements availability during the day to deliver the road smart program in schools access to transportation to reliably get to session venues in a timely manner access to appropriate technology to deliver the program a laptop or tablet is required with powerpoint where such technology is not provided be available to participate in road smart in class presentation training paid desirable skills and qualifications youth work work in performing arts and or community development education qualifications such as certificate iv training and assessment or other relevant qualification e g teaching facilitating is seen as desirable however not a requirement knowledge and understanding of issues in health education particularly road safety job offer please note prior to starting this role you will be required to complete or provide the following current drivers licence australian national police check working with children check clean driving history no more than demerit points accumulated in the past years no licence disqualifications suspensions or cancellations if you believe you have the right skill set apply now please note you will be required to complete an online questionnaire which also includes a video response for a confidential conversation please contact sally joy or mitchell cave on 
